Table 80,,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees ,,,,
"by Metropolitan and Nonmetropolitan Counties, 2015",,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Alameda,"1,560",978,582
,Butte,288,101,187
,Contra Costa,936,610,326
,El Dorado,349,164,185
,Fresno,"1,043",406,637
,Imperial,283,190,93
,Kern,"1,181",868,313
,Kings,258,77,181
,Los Angeles,"16,582","9,146","7,436"
,Madera,104,75,29
,Marin,293,194,99
,Merced,210,82,128
,Monterey,403,291,112
,Napa,132,103,29
,Orange,"3,602","1,778","1,824"
,Placer,471,233,238
,Riverside,"4,088","2,049","2,039"
,Sacramento,"1,906","1,249",657
,San Benito,53,25,28
,San Bernardino,"3,247","1,824","1,423"
,San Diego,"4,127","2,558","1,569"
,San Francisco,960,807,153
,San Joaquin,702,280,422
,San Luis Obispo,385,282,103
,San Mateo,662,308,354
,Santa Barbara,610,442,168
,Santa Clara,"1,613","1,206",407
,Santa Cruz,299,143,156
,Shasta,210,142,68
,Solano,481,123,358
,Sonoma,593,231,362
,Stanislaus,582,432,150
,Sutter,130,111,19
,Tulare,779,544,235
,Ventura,"1,242",732,510
,Yolo,262,91,171
,Yuba,168,126,42
Nonmetropolitan Counties,Alpine,16,13,3
,Amador,100,55,45
,Calaveras,92,45,47
,Colusa,59,28,31
,Del Norte,53,25,28
,Glenn,56,20,36
,Humboldt,224,177,47
,Inyo,71,37,34
,Lake,135,51,84
,Lassen,82,59,23
,Mariposa,72,58,14
,Mendocino,162,117,45
,Modoc,23,14,9
,Mono,40,22,18
,Nevada,155,59,96
,Plumas,60,32,28
,Sierra,14,10,4
,Siskiyou,99,78,21
,Tehama,115,83,32
,Trinity,42,34,8
,Tuolumne,129,62,67
