Table 80,,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees ,,,,
"by Metropolitan and Nonmetropolitan Counties, 2013",,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Alameda,"1,599",938,661
,Butte,299,109,190
,Contra Costa,965,654,311
,El Dorado,339,156,183
,Fresno,"1,005",813,192
,Imperial,268,182,86
,Kern,"1,239",942,297
,Kings,251,79,172
,Los Angeles,"16,704","9,186","7,518"
,Madera,103,71,32
,Marin,293,195,98
,Merced,225,106,119
,Monterey,382,281,101
,Napa,133,104,29
,Orange,"3,663","1,901","1,762"
,Placer,459,234,225
,Riverside,"3,897","2,053","1,844"
,Sacramento,"1,850","1,177",673
,San Benito,39,17,22
,San Bernardino,"3,228","1,742","1,486"
,San Diego,"3,954","2,361","1,593"
,San Francisco,"1,012",841,171
,San Joaquin,700,276,424
,San Luis Obispo,381,153,228
,San Mateo,619,320,299
,Santa Barbara,606,429,177
,Santa Clara,"1,572","1,115",457
,Santa Cruz,304,135,169
,Shasta,220,142,78
,Solano,418,109,309
,Sonoma,581,228,353
,Stanislaus,535,402,133
,Sutter,128,105,23
,Tulare,729,532,197
,Ventura,"1,227",757,470
,Yolo,242,84,158
,Yuba,165,124,41
Nonmetropolitan Counties,Alpine,18,15,3
,Amador,86,42,44
,Calaveras,97,55,42
,Colusa,67,33,34
,Del Norte,53,24,29
,Glenn,60,25,35
,Humboldt,213,169,44
,Inyo,53,34,19
,Lake,147,51,96
,Lassen,74,55,19
,Mariposa,65,52,13
,Mendocino,157,120,37
,Modoc,28,13,15
,Mono,57,28,29
,Nevada,160,63,97
,Plumas,58,30,28
,Sierra,16,10,6
,Siskiyou,93,74,19
,Tehama,114,81,33
,Trinity,40,32,8
,Tuolumne,125,61,64
