"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US06001","Alameda County, California","555909","3185","82.5","0.6","25.3","0.8","23.0","0.6","6.4","0.5","3.9","0.4","15.7","0.5","360837","4712","10.9","0.7","32.9","1.4","33.4","1.2","10.9","0.7","8.2","0.6","3.6","0.5","1578891","*****","44.8","0.6","11.7","0.2","0.6","0.1","27.3","0.3","0.8","0.1","8.2","0.6","6.6","0.4","22.7","*****","33.1","0.1","27.3","(X)","28.2","(X)","21.7","(X)","99085","1624","100707","1783","19542","1925","16693","379","9670","498","5011","485","30626","1552","115929","2122","53689","4461","89657","3923","158366","4234","96536","6287","162295","12971","104105","9389","36268","533","43843","1144","24890","1438","25581","5287","38289","1350","24089","3988","18854","1184","20680","2171","19359","819","52171","1379","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06007","Butte County, California","85158","1861","68.3","1.9","21.8","1.9","35.5","1.5","9.2","1.5","4.7","1.2","20.8","1.5","49991","2454","22.8","2.7","32.8","3.0","32.0","2.7","7.6","1.6","3.6","1.0","1.2","0.7","222090","*****","83.4","1.0","1.5","0.3","0.8","0.3","4.5","0.5","0.1","0.2","3.4","1.0","6.3","1.0","15.1","*****","74.0","0.1","27.6","(X)","25.5","(X)","23.4","(X)","59522","2926","61383","3762","15371","4571","16863","716","10513","1102","3277","544","25106","2119","72457","4682","44223","7473","62513","9420","99280","10232","59028","7360","129317","21687","80858","26429","23744","1064","25812","1270","13945","5313","22565","7588","11883","3972","N","N","13518","3360","12761","3089","15588","1852","26924","1416","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06013","Contra Costa County, California","382356","2597","80.1","0.8","30.3","1.2","28.2","0.8","4.8","0.5","2.6","0.4","18.9","0.8","272442","5243","13.3","1.0","31.5","1.5","31.8","1.5","10.6","1.0","8.8","0.7","4.0","0.6","1094205","*****","61.1","0.9","8.8","0.3","0.5","0.1","15.1","0.4","0.5","0.1","8.0","0.8","6.0","0.6","24.9","*****","46.2","0.1","33.1","(X)","33.6","(X)","25.7","(X)","107426","2900","108750","3015","22383","3561","18482","432","9674","637","4252","537","32043","1875","122707","3643","62266","6194","104372","7320","168845","7038","91674","6828","154608","10877","113841","15070","38344","964","45099","1537","24357","1964","26295","5760","39150","2164","23086","6193","16771","1326","19271","2250","18792","842","53063","2052","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06017","El Dorado County, California","66751","2444","70.4","2.2","29.6","3.3","34.4","2.2","5.4","1.5","1.6","0.8","25.8","2.9","46091","2563","19.5","2.5","28.7","3.5","36.9","3.5","7.5","2.0","5.8","2.0","1.6","1.0","181737","*****","87.3","1.4","1.8","0.7","0.6","0.4","4.2","0.5","0.1","0.2","3.0","1.3","3.0","0.8","12.5","*****","78.9","0.3","26.8","(X)","28.7","(X)","21.8","(X)","87168","6052","92520","7178","18496","7266","18441","1145","8580","1633","4146","1093","30521","3807","105589","8161","49429","5939","106121","12085","132977","14956","83628","17678","148328","32964","98662","8807","33107","2387","34401","2310","12882","5690","N","N","36486","19670","N","N","12903","5370","22163","10206","22596","6934","35209","2286","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06019","Fresno County, California","293517","3025","78.7","1.2","16.4","1.0","26.5","0.8","8.5","0.8","9.5","1.0","15.9","0.9","215171","4335","14.4","1.4","39.9","1.8","23.1","1.2","10.8","1.2","7.8","0.8","3.9","0.6","955272","*****","61.8","1.6","5.1","0.2","1.1","0.2","10.0","0.3","0.2","0.1","17.9","1.6","3.9","0.6","51.6","*****","31.3","0.1","36.8","(X)","37.3","(X)","27.8","(X)","61208","1526","61206","1713","13951","2746","15777","455","9458","512","5113","521","24549","1810","66005","1961","33633","3164","48687","2674","100678","4642","61869","4727","107854","8362","84409","14505","19682","525","23280","785","16302","1902","15142","3367","16452","1366","7973","2831","12052","834","12077","2582","12328","434","33606","1399","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06023","Humboldt County, California","53191","1624","75.7","2.8","27.8","2.1","31.2","1.9","6.9","2.0","4.2","1.3","19.2","2.1","28730","2013","17.6","3.1","38.9","4.8","29.5","3.8","9.1","2.5","2.4","1.2","2.5","1.5","134493","*****","81.7","1.3","1.1","0.3","5.1","1.0","2.2","0.6","0.1","0.2","3.8","1.3","5.9","1.3","10.5","*****","75.8","0.3","27.4","(X)","28.5","(X)","23.7","(X)","53623","3151","50586","3748","13160","2299","16676","1118","9537","1294","4263","1013","20698","2974","62704","4410","41277","6490","49036","5273","90566","7778","47975","6192","129594","63242","85976","10545","22432","1164","23747","1285","19851","9967","15169","2990","29461","12027","N","N","9881","3068","16175","4335","12473","1940","24415","1343","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06025","Imperial County, California","47430","1637","77.2","2.7","8.1","1.7","28.6","2.4","7.1","1.8","6.4","1.6","14.0","2.9","37079","2037","15.4","2.5","35.3","4.3","26.1","4.4","11.3","2.6","9.1","2.7","2.8","1.3","176584","*****","69.2","3.2","2.6","0.2","1.0","0.3","1.5","0.2","0.0","0.1","19.2","2.8","6.5","1.6","81.8","*****","12.7","0.1","37.6","(X)","41.0","(X)","23.9","(X)","57230","3683","58972","4090","15985","8036","15197","1238","7243","1240","6193","2026","25556","8533","59345","3886","32675","7702","49240","4595","75794","10493","63147","8448","93333","14180","54403","6483","16107","1028","18285","1411","17149","4976","10066","3943","20060","6078","N","N","10518","1677","9102","2619","13718","1042","31037","4433","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06029","Kern County, California","257183","3334","79.5","1.3","11.8","0.8","25.4","0.9","8.7","1.1","7.2","0.9","14.1","0.9","191525","4699","15.6","1.3","38.7","2.0","24.5","1.9","10.2","1.1","7.7","0.9","3.3","0.7","864124","*****","74.8","1.3","5.5","0.2","1.0","0.2","4.6","0.3","0.1","0.1","10.9","1.3","3.1","0.4","50.9","*****","36.8","0.1","30.8","(X)","31.9","(X)","21.9","(X)","63385","1925","65028","2222","11883","2318","16423","590","9876","590","4668","470","26402","1707","68127","2368","30922","2584","55021","3443","99660","4202","60883","4443","110444","9292","86301","9729","19590","568","20872","673","16840","2980","12458","2477","21255","3233","8118","6623","13996","1289","13577","3296","12392","555","29999","1037","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06031","Kings County, California","41813","1167","81.9","2.4","12.0","2.9","24.7","2.6","5.0","1.8","4.5","1.7","13.7","2.3","32104","1656","14.1","2.7","40.0","4.4","25.6","4.1","9.8","2.2","7.1","2.8","3.4","1.7","150960","*****","66.7","2.9","6.7","0.4","1.1","0.3","3.6","0.6","0.3","0.1","17.8","2.8","3.8","1.1","52.7","*****","34.0","0.1","34.6","(X)","32.6","(X)","23.2","(X)","60976","3946","60492","4580","18798","10299","15359","1211","8910","2295","4584","992","22014","3874","63148","4475","28955","7706","48726","7365","89208","9651","50017","7588","127310","20501","82388","17191","17948","1132","20326","1526","24272","7526","15037","5796","16143","5521","23460","20560","9547","1715","6562","3013","10871","1274","28467","2175","(X)","(X)","(X)","(X)","(X)","(X)"
