"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US06001","Alameda County, California","571828","2806","83.4","0.6","27.1","0.7","24.3","0.7","5.9","0.6","3.6","0.4","15.3","0.7","383253","5651","10.5","0.6","31.9","1.2","34.1","1.1","10.4","0.8","9.0","0.7","4.2","0.5","1638215","*****","42.8","0.6","11.0","0.2","0.6","0.2","29.0","0.3","0.9","0.1","9.6","0.7","6.0","0.4","22.6","*****","32.3","0.1","31.3","(X)","31.9","(X)","25.3","(X)","109109","1615","109777","1478","22651","2444","17697","375","9866","472","4632","318","34895","2780","124380","2340","58389","5869","95957","3689","168109","4193","96171","5569","167252","9258","128772","11030","39413","597","48859","1289","28227","1422","34379","11877","39765","1347","30039","8903","20369","1456","23491","1763","21710","855","56730","1418","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06007","Butte County, California","85289","2059","71.5","2.1","21.6","2.0","35.2","1.7","9.3","1.4","4.9","1.3","20.9","1.7","50799","2045","22.5","2.6","32.2","2.8","30.4","2.9","6.5","1.4","6.1","1.4","2.3","1.2","225411","*****","82.8","1.2","1.1","0.4","1.4","0.5","4.7","0.6","0.1","0.1","4.1","1.2","5.8","0.9","15.7","*****","72.9","0.2","31.3","(X)","32.0","(X)","25.8","(X)","61627","2890","61208","3730","16764","3083","17618","898","10218","1086","3399","554","26612","2960","76890","4719","48604","5014","63310","5691","101639","11805","72385","15782","141761","23550","56112","11566","23867","1024","25645","1242","10666","3482","19786","6274","17540","4664","N","N","15366","2204","12381","3128","15234","1805","26981","1371","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06013","Contra Costa County, California","391996","2551","80.4","0.9","28.7","1.0","29.0","0.7","5.4","0.7","3.0","0.5","20.2","0.8","280469","4435","13.2","0.8","31.3","1.6","30.9","1.3","10.5","1.1","9.5","1.0","4.4","0.7","1126745","*****","56.8","0.8","8.9","0.2","0.5","0.2","16.2","0.4","0.5","0.1","11.0","0.9","6.0","0.6","25.3","*****","44.8","0.1","36.1","(X)","36.2","(X)","28.4","(X)","115085","2899","116083","3118","23672","3330","20127","522","9911","738","4757","741","34676","2093","130981","3684","67235","5426","115654","7599","172087","6549","102912","6963","173318","10014","117699","11152","40955","988","48863","1637","29781","3748","25158","8726","42216","2584","24005","4689","17916","1346","24621","3527","21441","1097","55183","1765","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06017","El Dorado County, California","67544","1992","73.6","2.5","29.1","2.4","38.0","2.0","5.2","1.4","3.2","1.2","26.1","2.2","48960","2356","21.0","2.8","32.7","3.9","31.3","3.2","7.6","1.8","6.4","1.6","1.1","0.6","184452","*****","88.0","1.0","0.8","0.2","0.9","0.6","4.0","0.7","0.1","0.1","2.1","0.9","4.2","1.0","12.8","*****","78.2","0.1","32.0","(X)","31.4","(X)","25.9","(X)","100334","5465","99649","6291","24049","5372","19704","1148","10823","1794","3543","1071","39572","4751","115556","6370","67795","9225","103597","12203","150760","11627","123362","21503","147462","20402","141205","35532","38082","2129","38872","2218","30796","11998","16136","14290","53958","12552","N","N","14954","6660","24586","10561","21538","3751","40725","2359","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06019","Fresno County, California","304209","2978","79.8","0.9","15.3","0.9","26.3","0.8","9.1","0.7","8.1","0.8","15.8","0.8","218095","4356","13.7","1.2","37.7","1.7","24.3","1.3","12.4","1.2","7.6","0.8","4.4","0.7","974861","*****","64.6","1.2","4.8","0.2","1.0","0.2","10.2","0.2","0.2","0.1","15.7","1.2","3.5","0.5","52.4","*****","30.3","0.1","38.3","(X)","38.0","(X)","28.5","(X)","64716","1789","63683","1991","16634","2579","16616","480","9423","449","5133","435","28107","1720","70543","2180","33944","3040","53619","2932","103798","6238","63385","4895","120576","11033","79941","7702","21079","557","23682","772","17308","2415","16256","4427","20323","1976","15707","9714","13317","969","16855","2659","13558","404","34972","1499","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06023","Humboldt County, California","53553","1778","74.1","2.4","26.2","2.3","34.9","2.4","7.5","1.7","4.5","1.4","18.1","2.1","31233","1781","17.8","2.9","37.9","4.6","29.1","3.9","9.3","2.7","4.8","2.0","1.2","0.8","135727","*****","79.7","1.7","1.3","0.2","5.1","0.8","3.3","0.4","0.1","0.1","5.2","1.7","5.3","1.2","11.1","*****","74.7","0.3","36.1","(X)","35.6","(X)","29.0","(X)","58123","4188","53547","4889","19744","5064","17183","1141","11315","2072","4100","936","25221","3802","74359","6619","52199","9519","53673","6667","110968","15773","70485","20154","103736","23178","78954","22109","24232","2210","25767","1541","21338","12629","15018","3554","14470","6383","N","N","N","N","11322","2163","20509","17158","26716","1518","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06025","Imperial County, California","45158","1912","74.6","3.0","9.8","2.3","37.3","3.2","12.3","2.2","6.2","1.9","13.3","2.5","34623","1981","16.1","2.6","40.5","4.6","20.8","3.5","11.0","2.8","6.9","2.4","4.6","1.5","180191","*****","70.3","2.9","2.8","0.7","1.4","0.5","1.9","0.5","0.1","0.1","20.0","3.0","3.5","1.1","82.7","*****","11.9","0.1","44.2","(X)","44.5","(X)","30.2","(X)","55930","3489","58083","4430","14178","4859","13724","942","6338","616","4401","931","25667","5163","59133","3999","31689","5911","43780","4259","86510","9103","63354","12269","107021","16252","84747","16566","15757","930","16629","1239","12651","4077","14664","5464","28188","12142","N","N","12021","1615","15969","6650","13880","936","26711","3401","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06029","Kern County, California","263273","3736","78.7","1.0","12.7","1.0","26.0","1.0","7.6","0.8","5.4","0.8","14.8","1.0","198899","4648","15.9","1.0","37.2","1.9","24.8","1.7","10.8","1.5","7.5","1.0","3.8","0.7","882176","*****","77.6","1.2","5.7","0.3","0.8","0.2","4.6","0.3","0.2","0.1","7.9","1.2","3.1","0.5","52.2","*****","35.4","0.1","36.1","(X)","36.7","(X)","26.6","(X)","69017","2049","70746","2529","18481","4270","17190","504","9218","592","4568","626","27621","2161","73866","2611","37541","3451","58442","3855","103779","6040","74125","6041","120960","14436","87034","10627","21775","678","22497","733","16104","2250","17424","4169","29853","4351","15307","11448","15774","1762","19009","6272","14108","691","33044","1486","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06031","Kings County, California","42692","1224","81.2","2.7","16.1","2.8","24.6","2.3","6.8","1.9","6.0","1.6","17.8","2.5","31355","1535","11.7","2.6","37.9","4.3","26.2","3.7","14.0","3.1","8.0","2.3","2.3","1.2","150965","*****","66.1","2.5","6.1","0.8","1.5","0.4","4.7","0.8","0.5","0.7","17.5","2.5","3.5","1.2","53.6","*****","33.1","0.1","34.8","(X)","34.1","(X)","24.8","(X)","67033","8047","66036","10087","16721","8124","16937","1296","8473","1034","4681","1097","22429","3347","65064","3443","36735","7586","43825","4274","95870","11045","69498","8154","93718","11589","81427","29036","20377","2364","20204","1268","18085","6085","18300","5271","60166","47360","N","N","13124","1953","12871","5670","12544","1013","27611","2211","(X)","(X)","(X)","(X)","(X)","(X)"
