"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"0500000US06087","Santa Cruz County, California","93253","1926","81.0","1.8","26.4","1.9","27.3","1.6","4.7","1.2","2.1","0.7","15.8","1.5","57781","2323","10.4","1.6","31.8","2.9","36.1","2.7","9.3","1.6","8.2","1.6","4.2","1.3","266776","*****","83.1","1.8","1.1","0.2","0.7","0.4","4.1","0.5","0.2","0.1","6.1","1.6","4.6","0.8","32.7","*****","58.7","0.1","24.5","(X)","25.1","(X)","17.4","(X)","91901","3838","90949","4206","24497","3051","17040","835","8111","1088","4387","1115","30019","3646","108154","5424","65060","7944","88427","10255","141396","10839","83678","11172","129087","17535","91690","18466","33434","1340","35722","1728","61860","18502","20093","12323","29992","5767","N","N","15819","3446","14680","3786","16357","1613","43618","2138","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06089","Shasta County, California","68165","1837","67.8","2.0","19.6","1.9","40.0","1.8","9.5","1.7","3.4","1.1","22.9","1.7","45692","2199","22.3","2.2","35.1","3.2","28.3","3.1","7.1","2.0","6.1","1.6","1.0","0.6","178586","*****","87.1","1.1","1.2","0.4","3.6","1.0","2.7","0.4","0.0","0.1","1.9","0.7","3.5","0.9","8.9","*****","81.8","0.1","25.2","(X)","25.8","(X)","20.1","(X)","59410","2537","60587","3310","14276","3136","16799","686","10502","1224","4242","1013","24010","2253","69880","3292","40632","3700","59637","5315","95752","7735","69373","6693","116975","16192","65571","14204","23835","923","25100","932","6786","6968","14035","3691","16572","6929","N","N","21244","8162","15286","6571","17017","2794","25588","1052","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06095","Solano County, California","141139","1964","79.7","1.5","18.5","1.3","27.8","1.2","5.2","0.8","3.4","0.8","24.2","1.3","99696","2787","13.7","1.4","36.8","2.3","26.4","2.1","10.6","1.6","9.1","1.4","3.4","0.9","420757","*****","54.1","1.0","13.2","0.7","0.5","0.2","15.3","0.5","0.9","0.1","8.6","1.1","7.3","1.0","24.8","*****","40.2","0.1","25.3","(X)","23.7","(X)","18.9","(X)","78619","2348","77411","2733","11532","2087","16118","683","8842","1002","5361","952","28302","2069","87508","3223","45744","4883","67044","4148","122553","9522","87549","7933","126353","10832","101973","19716","27589","789","32136","1357","26055","2208","16386","8558","28044","2771","18347","4704","13818","2375","13772","2006","15775","1105","37299","1701","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06097","Sonoma County, California","184348","2755","76.8","1.2","30.1","1.3","31.2","1.1","5.1","0.8","3.0","0.7","20.4","1.2","117766","3464","15.2","1.3","32.2","2.2","31.0","2.0","9.8","1.1","8.2","1.4","3.6","0.9","491829","*****","76.6","1.3","1.7","0.3","1.1","0.5","4.0","0.4","0.4","0.2","12.3","1.2","3.9","0.6","25.5","*****","65.0","0.3","24.5","(X)","24.6","(X)","18.1","(X)","81555","2969","77974","3054","23508","4009","17585","646","9384","842","5144","921","30600","2360","93258","4246","67573","7569","78482","8715","116126","7718","75410","8652","126968","11762","108926","18792","31522","1117","35776","1494","20461","4744","14531","6085","32890","5178","20486","3944","13036","1368","15681","2396","14601","882","39267","1687","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06099","Stanislaus County, California","167497","1822","77.9","1.4","13.7","1.2","27.3","1.2","8.5","1.2","6.3","0.9","15.5","1.1","124624","3657","16.1","1.7","36.7","2.1","24.3","1.7","11.4","1.4","9.4","1.4","2.2","0.6","521726","*****","75.9","1.4","2.7","0.4","0.7","0.2","5.3","0.4","0.7","0.1","10.4","1.3","4.3","0.7","43.0","*****","45.5","0.1","29.9","(X)","28.8","(X)","19.7","(X)","62037","1782","62555","2265","15530","3559","17244","706","9848","641","4781","548","22732","2231","66588","2145","33173","2724","52678","2709","92932","5168","65493","8683","103680","8080","99022","16746","20608","622","22039","808","15442","3242","15133","5593","22991","3651","9240","5239","12485","1355","18121","5033","13229","768","27779","1150","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06101","Sutter County, California","31259","652","74.8","2.8","14.3","2.9","30.4","2.9","9.1","2.6","4.2","1.5","17.8","2.5","22180","1341","15.3","2.9","36.4","4.9","29.9","4.3","6.9","2.3","7.3","2.6","4.2","1.7","95022","*****","69.7","2.4","1.5","0.5","1.7","0.8","14.7","1.1","0.1","0.1","6.6","2.5","5.8","1.5","29.3","*****","48.8","0.2","23.2","(X)","23.2","(X)","19.0","(X)","66209","7119","66114","4700","N","N","15254","1171","11208","2038","5646","1929","23635","3700","74985","9861","38485","7225","54279","9829","96822","8687","63342","12802","175138","104539","77971","21916","23971","4271","27670","6197","13590","8920","17088","12855","18715","4271","N","N","13745","3197","9117","2922","13315","1413","33586","8601","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06107","Tulare County, California","132614","1493","81.0","1.5","11.4","1.5","27.3","1.5","7.5","1.1","10.5","1.5","13.1","1.2","103128","2316","13.8","1.6","38.6","2.4","26.0","2.6","9.7","1.3","8.2","1.3","3.5","0.9","451977","*****","80.6","1.5","1.6","0.2","1.1","0.3","3.4","0.3","0.1","0.1","9.1","1.3","4.1","0.9","61.8","*****","31.2","0.3","38.8","(X)","37.6","(X)","26.7","(X)","55215","2319","54805","2836","12593","2855","14497","545","8047","742","5711","610","21461","1914","58683","2774","27716","3231","40341","2719","86874","7763","63198","10359","99531","10065","65183","9571","16843","710","17598","837","11136","3831","15550","5636","15850","3186","24997","9148","13550","2725","12449","3209","11345","710","27248","1533","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06111","Ventura County, California","267877","1850","81.7","0.8","25.0","1.2","27.6","0.8","4.6","0.6","3.3","0.6","19.8","1.0","196023","3723","12.2","0.9","31.5","1.6","29.3","1.5","11.0","1.2","11.0","1.0","5.0","1.0","835981","*****","77.9","0.9","2.0","0.2","0.5","0.2","6.8","0.3","0.2","0.1","8.2","1.0","4.4","0.5","41.2","*****","47.5","0.1","27.1","(X)","27.6","(X)","19.4","(X)","94173","3139","92754","3462","20317","3134","17560","428","9362","704","5548","724","28368","1654","104303","4087","55427","5000","93090","8751","130243","6216","89706","9826","135892","7696","104774","7980","31260","980","33174","1090","24498","4238","27611","10627","37356","3750","45170","15632","16341","1555","18683","2181","16916","636","43606","1696","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06113","Yolo County, California","71568","1351","80.9","1.7","22.4","2.1","22.3","1.6","6.7","1.6","3.1","1.0","16.0","1.8","44355","1823","12.1","2.0","37.8","3.2","33.0","3.1","6.5","1.9","7.2","1.8","3.3","1.5","204118","*****","66.8","2.0","2.5","0.5","0.9","0.4","13.8","0.7","0.3","0.4","10.2","2.0","5.5","1.1","31.0","*****","48.8","0.1","24.6","(X)","21.9","(X)","16.7","(X)","74133","4209","72226","4445","16197","4076","17311","1320","9423","1027","4720","1107","32155","5035","90441","6698","47833","9163","67288","8507","127513","15134","72804","13034","141147","18644","64881","11991","26839","1433","30615","1930","24226","11790","21592","12672","22600","6087","N","N","14143","2080","16946","2960","15547","1228","35823","2379","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US06115","Yuba County, California","24842","901","75.8","3.8","14.6","3.1","30.4","2.9","12.2","3.2","8.6","2.5","16.3","2.9","18276","1293","20.2","4.3","41.2","6.0","23.6","5.0","9.0","3.6","2.8","1.7","3.2","2.5","72926","*****","71.1","2.8","3.3","0.5","1.0","0.8","7.7","0.6","0.4","0.3","8.7","2.4","7.8","1.5","26.2","*****","57.7","0.1","19.5","(X)","17.9","(X)","13.0","(X)","55440","5020","53799","5298","14170","12013","14724","1326","9232","1604","5222","1573","24745","6519","58257","5919","36053","9592","52479","5697","82074","14011","60782","26332","64473","16019","84959","6620","19249","1679","21252","2054","19587","5554","16144","13128","16470","7786","48884","21001","12475","3065","10125","3230","11420","1583","23533","2585","(X)","(X)","(X)","(X)","(X)","(X)"
